word,binary
 ,00000000000
the,00000000001
you,00000000010
to,00000000011
and,00000000100
a,00000000101
of,00000000110
i,00000000111
is,00000001000
in,00000001001
for,00000001010
s,00000001011
it,00000001100
your,00000001101
thi,00000001110
on,00000001111
with,00000010000
we,00000010001
be,00000010010
are,00000010011
t,00000010100
all,00000010101
that,00000010110
amp,00000010111
have,00000011000
what,00000011001
our,00000011010
can,00000011011
at,00000011100
by,00000011101
do,00000011110
out,00000011111
from,00000100000
get,00000100001
now,00000100010
how,00000100011
will,00000100100
if,00000100101
make,00000100110
us,00000100111
new,00000101000
today,00000101001
up,00000101010
here,00000101011
as,00000101100
or,00000101101
an,00000101110
look,00000101111
m,00000110000
need,00000110001
about,00000110010
my,00000110011
day,00000110100
like,00000110101
so,00000110110
one,00000110111
but,00000111000
more,00000111001
when,00000111010
ha,00000111011
use,00000111100
time,00000111101
me,00000111110
who,00000111111
just,00001000000
don,00001000001
free,00001000010
re,00001000011
not,00001000100
there,00001000101
work,00001000110
good,00001000111
they,00001001000
check,00001001001
no,00001001010
come,00001001011
see,00001001100
take,00001001101
some,00001001110
help,00001001111
year,00001010000
follow,00001010001
go,00001010010
via,00001010011
great,00001010100
these,00001010101
first,00001010110
want,00001010111
best,00001011000
way,00001011001
know,00001011010
wa,00001011011
their,00001011100
live,00001011101
busi,00001011110
week,00001011111
over,00001100000
share,00001100001
peopl,00001100010
onli,00001100011
open,00001100100
love,00001100101
learn,00001100110
start,00001100111
design,00001101000
most,00001101001
been,00001101010
news,00001101011
join,00001101100
let,00001101101
find,00001101110
think,00001101111
link,00001110000
world,00001110001
read,00001110010
than,00001110011
march,00001110100
d,00001110101
video,00001110110
into,00001110111
hi,00001111000
say,00001111001
onlin,00001111010
product,00001111011
top,00001111100
th,00001111101
life,00001111110
covid,00001111111
thing,00010000000
back,00010000001
call,00010000010
post,00010000011
home,00010000100
whi,00010000101
mani,00010000110
team,00010000111
servic,00010001000
gt,00010001001
support,00010001010
happi,00010001011
watch,00010001100
other,00010001101
health,00010001110
part,00010001111
job,00010010000
women,00010010001
chang,00010010010
latest,00010010011
thank,00010010100
give,00010010101
pleas,00010010110
research,00010010111
which,00010011000
develop,00010011001
had,00010011010
would,00010011011
did,00010011100
power,00010011101
sale,00010011110
digit,00010011111
ani,00010100000
market,00010100001
compani,00010100010
visit,00010100011
next,00010100100
project,00010100101
her,00010100110
click,00010100111
he,00010101000
them,00010101001
avail,00010101010
pandem,00010101011
provid,00010101100
tech,00010101101
book,00010101110
after,00010101111
could,00010110000
data,00010110001
shop,00010110010
show,00010110011
art,00010110100
right,00010110101
set,00010110110
plan,00010110111
should,00010111000
talk,00010111001
everi,00010111010
experi,00010111011
report,00010111100
student,00010111101
pay,00010111110
build,00010111111
class,00011000000
manag,00011000001
offer,00011000010
hire,00011000011
engin,00011000100
system,00011000101
feel,00011000110
natur,00011000111
am,00011001000
stori,00011001001
well,00011001010
off,00011001011
made,00011001100
last,00011001101
commun,00011001110
discuss,00011001111
where,00011010000
technolog,00011010001
creat,00011010010
qualiti,00011010011
industri,00011010100
histori,00011010101
money,00011010110
beauti,00011010111
through,00011011000
spring,00011011001
still,00011011010
uk,00011011011
account,00011011100
import,00011011101
due,00011011110
podcast,00011011111
high,00011100000
custom,00011100001
amaz,00011100010
better,00011100011
u,00011100100
ever,00011100101
school,00011100110
got,00011100111
studi,00011101000
w,00011101001
photo,00011101010
essay,00011101011
assign,00011101100
nurs,00011101101
innov,00011101110
improv,00011101111
offic,00011110000
scienc,00011110001
c,00011110010
travel,00011110011
inspir,00011110100
alway,00011110101
style,00011110110
artist,00011110111
may,00011111000
st,00011111001
black,00011111010
websit,00011111011
famili,00011111100
friend,00011111101
tri,00011111110
food,00011111111
vaccin,00100000000
india,00100000001
nation,00100000010
order,00100000011
biolog,00100000100
paper,00100000101
math,00100000110
tip,00100000111
lead,00100001000
ai,00100001001
contact,00100001010
opportun,00100001011
futur,00100001100
train,00100001101
expert,00100001110
write,00100001111
program,00100010000
educ,00100010001
secur,00100010010
interest,00100010011
full,00100010100
fashion,00100010101
photographi,00100010110
instagram,00100010111
fit,00100011000
care,00100011001
veri,00100011010
small,00100011011
human,00100011100
miss,00100011101
light,00100011110
test,00100011111
ve,00100100000
state,00100100001
countri,00100100010
again,00100100011
also,00100100100
organ,00100100101
price,00100100110
x,00100100111
dm,00100101000
success,00100101001
calculu,00100101010
law,00100101011
profession,00100101100
grow,00100101101
solut,00100101110
media,00100101111
app,00100110000
cours,00100110001
local,00100110010
homework,00100110011
leader,00100110100
econom,00100110101
readi,00100110110
machin,00100110111
citi,00100111000
view,00100111001
detail,00100111010
network,00100111011
complet,00100111100
inform,00100111101
gener,00100111110
even,00100111111
kid,00101000000
motiv,00101000001
tuesday,00101000010
never,00101000011
gift,00101000100
cute,00101000101
were,00101000110
usa,00101000111
doe,00101001000
million,00101001001
big,00101001010
social,00101001011
trend,00101001100
brand,00101001101
ad,00101001110
logo,00101001111
hope,00101010000
morn,00101010001
keep,00101010010
enjoy,00101010011
anim,00101010100
month,00101010101
two,00101010110
pm,00101010111
shirt,00101011000
white,00101011001
buy,00101011010
startup,00101011011
statist,00101011100
algebra,00101011101
financ,00101011110
growth,00101011111
platform,00101100000
blog,00101100001
china,00101100010
fun,00101100011
base,00101100100
becom,00101100101
physic,00101100110
place,00101100111
announc,00101101000
global,00101101001
healthcar,00101101010
code,00101101011
career,00101101100
excit,00101101101
polit,00101101110
hous,00101101111
bill,00101110000
american,00101110001
must,00101110010
result,00101110011
appli,00101110100
regist,00101110101
hr,00101110110
music,00101110111
store,00101111000
cloth,00101111001
girl,00101111010
posit,00101111011
twitter,00101111100
littl,00101111101
she,00101111110
stay,00101111111
cat,00110000000
someon,00110000001
ll,00110000010
move,00110000011
listen,00110000100
case,00110000101
govern,00110000110
control,00110000111
biden,00110001000
while,00110001001
effect,00110001010
dr,00110001011
continu,00110001100
against,00110001101
rate,00110001110
